Código Produto,Nome Produto,Marca,Modelo,Tipo,Indice,Tratamento,Antireflexo,Variação Antireflexo
LP17566,LP ZEISS 1.50 CLEARVIEW PFUSION CINZA DRV PLATIN,ZEISS,,LENTE PRONTA,1.50,PHOTOFUSION,DURAVISION,PLATINUM
LP17567,LT PRONTA ZEISS POLI INC CLEARVIEW DRV CHROME UV,ZEISS,,LENTE PRONTA,1.59,,DURAVISION,CHROME
LP17568,LT PRONTA ZEISS POLI INC CLEARVIEW DRV SILVER UV,ZEISS,,LENTE PRONTA,1.59,,DURAVISION,SILVER
LP17569,LT PRONTA ZEISS POLI INC CLEARVIEW DRV PLATINUM,ZEISS,,LENTE PRONTA,1.59,,DURAVISION,PLATINUM
LP17570,LT PRONTA ZEISS 1.60 INC CLEARVIEW DRV SILVER UV,ZEISS,,LENTE PRONTA,1.60,,DURAVISION,SILVER
LP17571,LP ZEISS 1.60 INC CLRVIEW DRV SILVER UV Cil. EST,ZEISS,,LENTE PRONTA,1.60,,DURAVISION,SILVER
LP17572,LT PRONTA ZEISS 1.60 INC CLEARVIEW DRV PLATINUM,ZEISS,,LENTE PRONTA,1.60,,DURAVISION,PLATINUM
LP17573,LP ZEISS 1.60 INC CLRVIEW PFUSION CNZ DRV PLATIN,ZEISS,,LENTE PRONTA,1.60,PHOTOFUSION,DURAVISION,PLATINUM
LP17574,LT PRONTA ZEISS 1.67 INC CLEARVIEW DRV SILVER UV,ZEISS,,LENTE PRONTA,1.67,,DURAVISION,SILVER
LP17575,LT PRONTA ZEISS 1.67 INC CLEARVIEW DRV PLATINUM,ZEISS,,LENTE PRONTA,1.67,,DURAVISION,PLATINUM
LP17576,LT PRONTA ZEISS 1.74 INC CLEARVIEW DRV PLATINUM,ZEISS,,LENTE PRONTA,1.74,,DURAVISION,PLATINUM
LP17842,LT PRONTA ZEISS 1.60 INC CLEARVIEW DRV CHROME UV,ZEISS,,LENTE PRONTA,1.60,,DURAVISION,CHROME
LP18900,LT PRONTA  STYLIS 1.74 INC CRZ SAPP HR,ESSILOR,,LENTE PRONTA,1.74,,CRIZAL,SAPPHIRE
LP18901,LT PRONTA STYLIS 1.67 BLUE UV SAPP HR,ESSILOR,,LENTE PRONTA,1.67,,CRIZAL,SAPPHIRE
LP18902,LT PRONTA AIR BLUE UV CRZ SAPPHIRE HR,ESSILOR,,LENTE PRONTA,1.59,,CRIZAL,SAPPHIRE
LP18904,LP ESSILOR ORMA TR8 CINZA CZ SAPPHIRE HR,ESSILOR,,LENTE PRONTA,1.50,TRANSITIONS,CRIZAL,SAPPHIRE
LP18906,LT PRONTA  ORMA INC CRZ ROCK,ESSILOR,,LENTE PRONTA,1.50,,CRIZAL,
LP2522,LT PRONTA CR-39 TRANS CINZA,ESSILOR,,LENTE PRONTA,1.50,TRANSITIONS,ANTIRRISCO,
LP2532,LT PRONTA MEDIO ÍNDICE 1.56 AR,1.56,,LENTE PRONTA,1.56,,AR,
LP2555,LT PRONTA SOLAR CR-39 C600 71 MM BLACK,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2556,LT PRONTA SOLAR CR-39 C600 71 MM CINZA,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2557,LT PRONTA SOLAR CR-39 C600 71 MM G-15,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2558,LT PRONTA SOLAR CR-39 C600 71 MM MARROM,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2559,LT PRONTA SOLAR CR-39 C600 76 MM BLACK,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2560,LT PRONTA SOLAR CR-39 C600 76 MM CINZA,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2561,LT PRONTA SOLAR CR-39 C600 76 MM G-15,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2562,LT PRONTA SOLAR CR-39 C600 76 MM MARROM,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2563,LT PRONTA SOLAR CR-39 C800 71 MM BLACK,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2564,LT PRONTA SOLAR CR-39 C800 71 MM CINZA,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2565,LT PRONTA SOLAR CR-39 C800 71 MM G-15,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2567,LT PRONTA SOLAR CR-39 C800 76 MM BLACK,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2568,LT PRONTA SOLAR CR-39 C800 76 MM CINZA,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2569,LT PRONTA SOLAR CR-39 C800 76 MM G-15,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2570,LT PRONTA SOLAR CR-39 C800 76 MM MARROM,CR-39,SOL,LENTE PRONTA,1.50,,ANTIRRISCO,
LP2571,LT PRONTA SOLAR POLI C600 CINZA,ZEISS,SOLAR,LENTE PRONTA,1.59,,ANTIRRISCO,
LP2572,LT PRONTA SOLAR POLI C600 G-15,POLI,SOL,LENTE PRONTA,1.59,,ANTIRRISCO,
LP2573,LT PRONTA SOLAR POLI C600 MARROM,POLI,SOL,LENTE PRONTA,1.59,,AR,
LP2574,LT PRONTA SOLAR POLI C800 CINZA,POLI,SOL,LENTE PRONTA,1.59,,ANTIRRISCO,
LP2575,LT PRONTA SOLAR POLI C800 G-15,POLI,SOL,LENTE PRONTA,1.59,,ANTIRRISCO,
LP2577,LT PRONTA SOLAR CR-39 C600 71 MM BLACK AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2578,LT PRONTA SOLAR CR-39 C600 71 MM CINZA AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2579,LT PRONTA SOLAR CR-39 C600 71 MM G-15 AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2583,LT PRONTA SOLAR CR-39 C600 76 MM G-15 AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2589,LT PRONTA SOLAR CR-39 C800 76 MM BLACK AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2591,LT PRONTA SOLAR CR-39 C800 76 MM G-15 AR,ZEISS,SOLAR,LENTE PRONTA,1.50,,AR,
LP2592,LT PRONTA SOLAR CR-39 C800 76 MM MARROM AR,CR-39,SOL,LENTE PRONTA,1.50,,AR,
LP2596,LT PRONTA SOLAR POLI C800 CINZA AR,POLI,SOL,LENTE PRONTA,1.59,,AR,
LP2607,LT PRONTA THINHARD TRIVEX,THINHARD,,LENTE PRONTA,1.53,,ANTIRRISCO,
LP2613,LT PRONTA MIOLIGHT TRIVEX CLEANEXTRA,MIOLIGHT,,LENTE PRONTA,1.53,,CLEANEXTRA,
LP2614,LT PRONTA HIPERLIGHT TRIVEX CLEANEXTRA,HIPERLIGHT,,LENTE PRONTA,1.53,,CLEANEXTRA,
LP2617,LT PRONTA MIOLIGHT 1.67 NO-RISK,MIOLIGHT,,LENTE PRONTA,1.67,,NO-RISK,
LP2637,LENTES OFT CR-39 TRANS AR,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,AR,
LP2658,LT PRONTA ULTRAX TRIVEX AQUA,ULTRAX,,LENTE PRONTA,1.53,,AQUA,
LP2659,LT PRONTA ULTRAX CR-39 AQUA,ULTRAX,,LENTE PRONTA,1.50,,AQUA,
LP2661,LT PRONTA THINHARD POLI INC.,THINHARD,,LENTE PRONTA,1.59,,ANTIRRISCO,
LP2697,LT PRONTA MIOLIGHT 1.74 LONGLIFE,MIOLIGHT,,LENTE PRONTA,1.74,,ANTIRRISCO,
LP2703,LT PRONTA ULTRAX POLI AQUA,ULTRAX,,LENTE PRONTA,1.59,,AQUA,
LP2704,LT PRONTA TRIVEX BLUE CONTROL,HOYA,,LENTE PRONTA,1.53,,BLUECONTROL,
LP2714,LT PRONTA ZEISS 1.50 ASP DRV PLATINUM,ZEISS,,LENTE PRONTA,1.50,,DURAVISION,PLATINUM
LP2717,LT PRONTA ZEISS 1.67 ASP DRV PLATINUM,ZEISS,,LENTE PRONTA,1.67,,DURAVISION,PLATINUM
LP2723,LT PRONTA ZEISS 1.74 ASP DRV PLATINUM,ZEISS,,LENTE PRONTA,1.74,,DURAVISION,PLATINUM
LP2727,LT PRONTA 1.67 AR,1.67,,LENTE PRONTA,1.67,,AR,
LP30002,LT PRONTA ULTRAX CR-39 SENSITY CLEANEXTRA,ULTRAX,,LENTE PRONTA,1.50,SENSITY,CLEANEXTRA,
LP30003,LT PRONTA 1.61 AR,1.61,,LENTE PRONTA,1.60,,AR,
LP30004,LT PRONTA 1.61 AR (CIL.ESTENDIDO),1.61,,LENTE PRONTA,1.60,,AR,
LP30005,LENTE PRONTA MÉDIO ÍNDICE 1.56 AR CIL ESTENDIDO,1.56,,LENTE PRONTA,1.56,,AR,
LP30006,LT PRONTA 1.67 AR (CIL. ESTENDIDO),1.67,,LENTE PRONTA,1.67,,AR,
LP30007,LT PRONTA 1.74 AR,1.74,,LENTE PRONTA,1.74,,AR,
LP30045,LT PRONTA HOYA PREMIUM 1.50 BCONTROL,HOYA,PREMIUM,LENTE PRONTA,1.50,,BLUECONTROL,
LP30849,LT PRT 1.50 CLEARVIEW PFSN X CNZ DRV PLATINUM,ZEISS,,LENTE PRONTA,1.50,PHOTOFUSION,DURAVISION,PLATINUM
LP30850,LT PRT 1.60 CLEARVIEW PFSN X CNZ DRV PLATINUM,ZEISS,,LENTE PRONTA,1.60,PHOTOFUSION,DURAVISION,PLATINUM
LSA0000120,VS RAY BAN EQUA 1.59 POL VERDE G15 AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000121,VS RAY BAN EQUA 1.59 POL MRM B15 AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000128,VS RAY BAN EQUA 1.59 COLOR VERDE G15 AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000129,VS RAY BAN EQUA 1.59 COLOR MRM B15 AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000130,PR RAY BAN BASE 1.59 POL VRD G15 AR PREMIUM UV,RAY BAN,BASE,PROGRESSIVA,1.59,,AR,
LSA0000135,PR RAY BAN BASE 1.59 POL AZUL DGRD AR PREMIUM UV,RAY BAN,BASE,PROGRESSIVA,1.59,,AR,
LSA0000138,PR RAY BAN BASE 1.59 COLOR VERDE G15 AR PREMIUM UV,RAY BAN,BASE,PROGRESSIVA,1.59,,AR,
LSA0000140,VS RAY BAN EQUALIZED 1.59 COLOR AZUL AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000141,PR RAY BAN BASE 1.59 COLOR AZUL AR PREMIUM UV,RAY BAN,BASE,PROGRESSIVA,1.59,,AR,
LSA0000620,VS RAY BAN EQUA FLAT 1.59 VERDE G15 AR PRMM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0000622,VS RAY BAN EQUA FLAT 1.59 COLOR AZUL AR PREMIUM UV,RAY BAN,EQUALIZED,VISÃO SIMPLES,1.59,,AR,
LSA0001129,VS ZEISS 1.50 INC ANTIRRISCO,ZEISS,FREEFORM,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0001130,VS ZEISS 1.50 INC BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.50,,DURAVISION,BLUEPROTECT
LSA0001131,VS ZEISS 1.50 INC DURAVISION CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.50,,DURAVISION,CHROME
LSA0001149,VS ZEISS 1.50 PFSN CNZ BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.50,PHOTOFUSION,DURAVISION,BLUEPROTECT
LSA0001152,VS ZEISS 1.50 PFUSION CNZ DRV CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.50,PHOTOFUSION,DURAVISION,CHROME
LSA0001156,VS ZEISS 1.50 PFUSION CNZ DRV SILVER UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.50,PHOTOFUSION,DURAVISION,SILVER
LSA0001160,VS ZEISS 1.60 AS INC BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.60,,DURAVISION,BLUEPROTECT
LSA0001161,VS ZEISS 1.60 AS INC DRV CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.60,,DURAVISION,CHROME
LSA0001168,VS ZEISS 1.67 AS PFUSION DRV CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.67,PHOTOFUSION,DURAVISION,CHROME
LSA0001176,VS ZEISS POLI INC BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.59,,DURAVISION,BLUEPROTECT
LSA0001177,VS ZEISS 1.67 AS INC BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.67,,DURAVISION,BLUEPROTECT
LSA0001184,VS ZEISS 1.67 AS INC DRV SILVER UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.67,,DURAVISION,SILVER
LSA0001185,VS ZEISS 1.67 AS PFUSION BLUE PROTECT UV,ZEISS,,VISÃO SIMPLES,1.67,PHOTOFUSION,DURAVISION,BLUEPROTECT
LSA0001188,VS ZEISS POLI INC DURAVISION CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.59,,DURAVISION,CHROME
LSA0001189,VS ZEISS POLI INC DURAVISION PLATINUM UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.59,,DURAVISION,PLATINUM
LSA0001196,VS ZEISS POLI PFUSION DRV CHROME UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.59,PHOTOFUSION,DURAVISION,CHROME
LSA0001200,VS ZEISS POLI PFUSION DRV SILVER UV,ZEISS,FREEFORM,VISÃO SIMPLES,1.59,PHOTOFUSION,DURAVISION,SILVER
LSA0001217,VS POLI COLOR PADRÃO DEGRADE ANTIRRISCO,POLI,,VISÃO SIMPLES,1.59,,ANTIRRISCO,
LSA0001225,VS CR-39 COLOR ESPECIAL - CHAVE 1 ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0001229,VS CR-39 COLOR ESPECIAL - CHAVE 2,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0001235,VS CR-39 COLOR ESPECIAL 76 mm,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0001239,VS CR-39 COLOR PADRÃO TOTAL- CHAVE 1 ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0001242,VS CR-39 COLOR PADRÃO TOTAL - CHAVE 1 AR,CR-39,,VISÃO SIMPLES,1.50,,AR,
LSA0001243,VS CR-39 COLOR PADRÃO TOTAL - CHAVE 2,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
