Código Produto,Nome Produto,Marca,Modelo,Tipo,Indice,Tratamento,Antireflexo,Variação Antireflexo
LSA0004333,VS ESSILOR EYEZEN ORMA TR VII XTRCTV CNZ STAND AR,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,AR,
LSA0004334,VS EYEZEN ORMA TR VII XTRCTV CNZ CRIZAL EASY UV,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,EASY
LSA0004335,VS EYEZEN ORMA TR VII XTRCTV CNZ CRIZAL FORTE UV,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004336,VS ESSILOR EYEZEN ORMA TR VII XTRCTV CNZ SPPHR,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004356,VS EYEZEN ORMA TR VII STYLE COLORS SAFIRA SPPHR,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004359,VS EYEZEN ORMA TR VII STL CLRS AMETISTA CZ EASY UV,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,EASY
LSA0004366,VS EYEZEN ORMA TR VII STYLE COLORS AMBAR SPPHR,EYEZEN,BOOST,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004368,VS ESSILOR EYEZEN ORMA INC STAND AR,EYEZEN,BOOST,VISÃO SIMPLES,1.50,,AR,
LSA0004369,VS ESSILOR EYEZEN ORMA INC CRIZAL EASY UV,EYEZEN,BOOST,VISÃO SIMPLES,1.50,,CRIZAL,EASY
LSA0004370,VS ESSILOR EYEZEN ORMA INC FORTE UV,EYEZEN,BOOST,VISÃO SIMPLES,1.50,,CRIZAL,
LSA0004371,VS ESSILOR EYEZEN ORMA INC SAPPHIRE,EYEZEN,BOOST,VISÃO SIMPLES,1.50,,CRIZAL,SAPPHIRE
LSA0004372,VS ESSILOR EYEZEN ORMA INC PREVENCIA,EYEZEN,BOOST,VISÃO SIMPLES,1.50,,CRIZAL,PREVENCIA
LSA0004373,VS STYLIS 1.74 INC SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.74,,CRIZAL,SAPPHIRE
LSA0004379,VS STYLIS 1.67 BLUE UV CZ EASY UV,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,EASY
LSA0004380,VS STYLIS 1.67 BLUE UV OPTIFOG,ESSILOR,,VISÃO SIMPLES,1.67,,OPTIFOG,
LSA0004381,VS STYLIS 1.67 BLUE UV FORTE UV,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,
LSA0004382,VS STYLIS 1.67 BLUE UV SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,SAPPHIRE
LSA0004383,VS STYLIS 1.67 BLUE UV PREVENCIA,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,PREVENCIA
LSA0004384,VS STYLIS 1.67 INC CZ EASY UV,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,EASY
LSA0004385,VS STYLIS 1.67 INC OPTIFOG,ESSILOR,,VISÃO SIMPLES,1.67,,OPTIFOG,
LSA0004386,VS STYLIS 1.67 INC FORTE UV,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,
LSA0004387,VS STYLIS 1.67 INC SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,SAPPHIRE
LSA0004388,VS STYLIS 1.67 INC PREVENCIA,ESSILOR,,VISÃO SIMPLES,1.67,,CRIZAL,PREVENCIA
LSA0004417,VS AIRWEAR BLUE UV EASY CLEAN UV,ESSILOR,,VISÃO SIMPLES,1.59,,EASY CLEAN,
LSA0004418,VS AIRWEAR BLUE UV CZ EASY UV,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,EASY
LSA0004419,VS AIRWEAR BLUE UV OPTIFOG,ESSILOR,,VISÃO SIMPLES,1.59,,OPTIFOG,
LSA0004420,VS AIRWEAR BLUE UV FORTE UV,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,
LSA0004421,VS AIRWEAR BLUE UV SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,SAPPHIRE
LSA0004422,VS AIRWEAR BLUE UV PREVENCIA,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,PREVENCIA
LSA0004423,VS AIRWEAR INC EASY CLEAN UV,ESSILOR,,VISÃO SIMPLES,1.59,,EASY CLEAN,
LSA0004424,VS AIRWEAR INC CZ EASY UV,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,EASY
LSA0004425,VS AIRWEAR INC OPTIFOG,ESSILOR,,VISÃO SIMPLES,1.59,,OPTIFOG,
LSA0004426,VS AIRWEAR INC FORTE UV,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,
LSA0004427,VS AIRWEAR INC SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,SAPPHIRE
LSA0004428,VS AIRWEAR INC PREVENCIA,ESSILOR,,VISÃO SIMPLES,1.59,,CRIZAL,PREVENCIA
LSA0004429,VS ORMA TRANS VII STYLE COLORS SAFIRA,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,ANTIRRISCO,
LSA0004430,VS ORMA TR VII STYLE COLORS SAFIRA EASY CLEAN UV,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,EASY CLEAN,
LSA0004433,VS ORMA TRANS VII STYLE COLORS SAFIRA FORTE UV,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004441,VS ORMA TRANS VII STYLE COLORS AMETISTA SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,SAPPHIRE
LSA0004475,VS CR-39 TRANS VII EXTRACTIVE CNZ FORTE UV,ESSILOR,,VISÃO SIMPLES,1.50,TRANSITIONS,CRIZAL,
LSA0004478,VS ORMA INC EASY CLEAN UV,ESSILOR,,VISÃO SIMPLES,1.50,,EASY CLEAN,
LSA0004479,VS ORMA INC CZ EASY UV,ESSILOR,,VISÃO SIMPLES,1.50,,CRIZAL,EASY
LSA0004480,VS ORMA INC OPTIFOG,ESSILOR,,VISÃO SIMPLES,1.50,,OPTIFOG,
LSA0004481,VS ORMA INC FORTE UV,ESSILOR,,VISÃO SIMPLES,1.50,,CRIZAL,
LSA0004482,VS ORMA INC SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.50,,CRIZAL,SAPPHIRE
LSA0004483,VS ORMA INC PREVENCIA,ESSILOR,,VISÃO SIMPLES,1.50,,CRIZAL,PREVENCIA
LSA0004484,VS TFL POL XPERIO CNZ,ESSILOR,,VISÃO SIMPLES,1.59,XPERIO,ANTIRRISCO,
LSA0004487,VS TFL POL XPERIO MRM,ESSILOR,,VISÃO SIMPLES,1.59,XPERIO,AR,
LSA0004490,VS TFL POL XPERIO VRD,ESSILOR,,VISÃO SIMPLES,1.59,XPERIO,AR,
LSA0004493,VS ORMA POL XPERIO CNZ,ESSILOR,,VISÃO SIMPLES,1.50,XPERIO,ANTIRRISCO,
LSA0004496,VS ORMA POL XPERIO VRD,ESSILOR,,VISÃO SIMPLES,1.59,XPERIO,ANTIRRISCO,
LSA0004498,VS ORMA POL XPERIO VRD SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.50,XPERIO,CRIZAL,SAPPHIRE
LSA0004499,VS ORMA POL XPERIO MRM,ESSILOR,,VISÃO SIMPLES,1.59,XPERIO,AR,
LSA0004501,VS ORMA POL XPERIO MRM SAPPHIRE,ESSILOR,,VISÃO SIMPLES,1.50,XPERIO,CRIZAL,SAPPHIRE
LSA0004550,REGR. VX DIGITIME NEAR ORMA INC CZ EASY UV,VARILUX,DIGITIME NEAR,REGRESSIVA,1.50,,CRIZAL,EASY
LSA0004567,REGR. VX DIGITIME MID ORMA INC EASY CLEAN UV,VARILUX,DIGITIME MID,REGRESSIVA,1.50,,EASY CLEAN,
LSA0004611,PR VX XCLUSIVE STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,X CLUSIVE,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0004616,PR VX XCLUSIVE STYLIS 1.67 BLUE UV SAPPHIRE,VARILUX,X CLUSIVE,PROGRESSIVA,1.67,,CRIZAL,SAPPHIRE
LSA0004633,PR VX XCLUSIVE AIRWEAR BLUE UV SAPPHIRE,VARILUX,X CLUSIVE,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0004634,PR VX XCLUSIVE AIRWEAR BLUE UV PREVENCIA,VARILUX,X CLUSIVE,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0004653,PR VX X CLUSIVE ORMA INC SAPPHIRE,VARILUX,X CLUSIVE,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004677,PR VX X 4D AIRWEAR BLUE UV SAPPHIRE,VARILUX,4D,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0004697,PR VX X 4D ORMA INC SAPPHIRE,VARILUX,4D,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004699,PR VX X TRACK STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,X TRACK,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0004706,PR VX X TRACK STYLIS 1.67 INC CZ EASY UV,VARILUX,X TRACK,PROGRESSIVA,1.67,,CRIZAL,EASY
LSA0004707,PR VX X TRACK STYLIS 1.67 BLUE UV FORTE UV,VARILUX,X TRACK,PROGRESSIVA,1.67,,CRIZAL,
LSA0004708,PR VX X TRACK STYLIS 1.67 BLUE UV SAPPHIRE,VARILUX,X TRACK,PROGRESSIVA,1.67,,CRIZAL,SAPPHIRE
LSA0004729,PR VX X TRACK AIRWEAR INC CZ EASY UV,VARILUX,X TRACK,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0004731,PR VX X TRACK AIRWEAR BLUE UV SAPPHIRE,VARILUX,X TRACK,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0004748,PR VX X TRACK ORMA XPERIO CNZ,VARILUX,X TRACK,PROGRESSIVA,1.50,XPERIO,ANTIRRISCO,
LSA0004754,PR VX X TRACK ORMA COLORAÇAO PADRAO,VARILUX,X TRACK,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0004757,PR VX X TRACK ORMA INC CZ EASY UV,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0004758,PR VX X TRACK ORMA INC FORTE UV,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,
LSA0004759,PR VX X TRACK ORMA INC SAPPHIRE,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004760,PR VX X TRACK ORMA INC PREVENCIA,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,PREVENCIA
LSA0004793,PR VX X TRACK FIT EYCD AIRWEAR BLUE UV SPPHR,VARILUX,X TRACK,PROGRESSIVA,1.59,,CRIZAL,
LSA0004820,PR VX X TRACK FIT EYECODE ORMA INC FORTE UV,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,
LSA0004821,PR VX X TRACK FIT EYECODE ORMA INC SAPPHIRE,VARILUX,X TRACK,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004823,PR VX X DESIGN STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,X DESIGN,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0004831,PR VX X DESIGN STYLIS 1.67 BLUE UV FORTE UV,VARILUX,X DESIGN,PROGRESSIVA,1.67,,CRIZAL,
LSA0004832,PR VX X DESIGN STYLIS 1.67 BLUE UV SAPPHIRE,VARILUX,X DESIGN,PROGRESSIVA,1.67,,CRIZAL,SAPPHIRE
LSA0004851,PR VX X DESIGN AIRWEAR COLORAÇAO ESPECIAL,VARILUX,X DESIGN,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0004853,PR VX X DESIGN AIRWEAR INC CZ EASY UV,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0004854,PR VX X DESIGN AIRWEAR BLUE UV FORTE UV,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,
LSA0004855,PR VX X DESIGN AIRWEAR BLUE UV SAPPHIRE,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0004856,PR VX X DESIGN AIRWEAR BLUE UV PREVENCIA,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0004878,PR VX X DESIGN ORMA COLORAÇAO PADRAO,VARILUX,X DESIGN,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0004879,PR VX X DESIGN ORMA COLORAÇAO ESPECIAL,VARILUX,X DESIGN,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0004881,PR VX X DESIGN ORMA INC CZ EASY UV,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0004882,PR VX X DESIGN ORMA INC FORTE UV,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,
LSA0004883,PR VX X DESIGN ORMA INC SAPPHIRE,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004884,PR VX X DESIGN ORMA INC PREVENCIA,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,PREVENCIA
LSA0004894,PR VX X DESIGN FIT EYCD STYLIS 1.67 BLUE UV SPPHR,VARILUX,X DESIGN,PROGRESSIVA,1.67,,CRIZAL,
LSA0004915,PR VX X DESIGN FIT EYECODE AIRWEAR INC CZ EASY UV,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0004916,PR VX X DESIGN FIT EYCD AIRWEAR BLUE UV FORTE UV,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,
LSA0004917,PR VX X DESIGN FIT EYCD AIRWEAR BLUE UV SPPHR,VARILUX,X DESIGN,PROGRESSIVA,1.59,,CRIZAL,
LSA0004943,PR VX X DESIGN FIT EYECODE ORMA INC CZ EASY UV,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0004944,PR VX X DESIGN FIT EYECODE ORMA INC FORTE UV,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,
LSA0004945,PR VX X DESIGN FIT EYECODE ORMA INC SAPPHIRE,VARILUX,X DESIGN,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0004993,PR VX E FIT EYCD STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0005000,PR VX E FIT EYECODE STYLIS 1.67 INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,EASY
LSA0005001,PR VX E FIT EYCD STYLIS 1.67 BLUE UV FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,
LSA0005002,PR VX E FIT EYCD STYLIS 1.67 BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,SAPPHIRE
LSA0005020,PR VX E FIT EYECODE AIRWEAR COLORAÇAO PADRAO,VARILUX,E DESIGN,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0005021,PR VX E FIT EYECODE AIRWEAR COLORAÇAO ESP,VARILUX,E DESIGN,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0005023,PR VX E FIT EYECODE AIRWEAR INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005024,PR VX E FIT EYCD AIRWEAR BLUE UV FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,
LSA0005025,PR VX E FIT EYCD AIRWEAR BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0005026,PR VX E FIT EYCD AIRWEAR BLUE UV PREVENCIA,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0005048,PR VX E FIT EYECODE ORMA COLORAÇAO PADRAO,VARILUX,E DESIGN,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005051,PR VX E FIT EYECODE ORMA INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005052,PR VX E FIT EYECODE ORMA INC FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,
LSA0005053,PR VX E FIT EYECODE ORMA INC SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0005055,PR VX E DESIGN STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0005062,PR VX E DESIGN STYLIS 1.67 INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,EASY
LSA0005063,PR VX E DESIGN STYLIS 1.67 BLUE UV FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,
LSA0005064,PR VX E DESIGN STYLIS 1.67 BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,SAPPHIRE
LSA0005082,PR VX E DESIGN AIRWEAR COLORAÇAO PADRAO,VARILUX,E DESIGN,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0005084,PR VX E DESIGN AIRWEAR BLUE UV OPTIFOG,VARILUX,E DESIGN,PROGRESSIVA,1.59,,OPTIFOG,
LSA0005085,PR VX E DESIGN AIRWEAR INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005086,PR VX E DESIGN AIRWEAR BLUE UV FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,
LSA0005087,PR VX E DESIGN AIRWEAR BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0005088,PR VX E DESIGN AIRWEAR BLUE UV PREVENCIA,VARILUX,E DESIGN,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0005110,PR VX E DESIGN ORMA COLORAÇAO PADRAO,VARILUX,E DESIGN,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005111,PR VX E DESIGN ORMA COLORAÇAO ESPECIAL,VARILUX,E DESIGN,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005113,PR VX E DESIGN ORMA INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005114,PR VX E DESIGN ORMA INC FORTE UV,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,
LSA0005115,PR VX E DESIGN ORMA INC SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0005116,PR VX E DESIGN ORMA INC PREVENCIA,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,PREVENCIA
LSA0005117,PR VX E DESIGN SHORT STYLIS 1.74 BLUE UV SAPPHIRE,VARILUX,E DESIGN,PROGRESSIVA,1.74,,CRIZAL,SAPPHIRE
LSA0005124,PR VX E DESIGN SHORT STYLIS 1.67 INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.67,,CRIZAL,EASY
LSA0005159,PR VX E DESIGN SHORT ORMA INC CZ EASY UV,VARILUX,E DESIGN,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005171,PR VX PHYSIO f-360 3.0 EYCD STY 1.67 BLUE UV SPPHR,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.67,,CRIZAL,
LSA0005190,PR VX PHYSIO f-360 3.0 EYCD AIR BLUE UV CZ EASY UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005191,PR VX PHYSIO f-360 3.0 EYCD AIR BLUE UV FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,
LSA0005228,PR VX PHYSIO f-360 3.0 NE EYCD ORMA COLORAÇAO ESP,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005231,PR VX PHYSIO f-360 3.0 NE EYCD ORMA INC FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,CRIZAL,
LSA0005241,PR VX PHYSIO 360 3.0 STYLIS 1.67 BLUE UV FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.67,,CRIZAL,
LSA0005242,PR VX PHYSIO 360 3.0 STYLIS 1.67 BLUE UV INC SPPHR,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.67,,CRIZAL,
LSA0005245,PR VX PHYSIO 360 3.0 NE STYLIS 1.67 INC CZ EASY UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.67,,CRIZAL,EASY
LSA0005261,PR VX PHYSIO 360 3.0 AIRWEAR BLUE UV CZ EASY UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005262,PR VX PHYSIO 360 3.0 AIRWEAR BLUE UV INC FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,
LSA0005263,PR VX PHYSIO 360 3.0 AIRWEAR BLUE UV INC SAPPHIRE,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0005264,PR VX PHYSIO 360 3.0 AIRWEAR BLUE UV INC PREVENCIA,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0005265,PR VX PHYSIO 360 3.0 NE AIRWEAR COLORAÇAO PADRAO,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0005266,PR VX PHYSIO 360 3.0 NE AIRWEAR COLORAÇAO ESP,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,ANTIRRISCO,
LSA0005268,PR VX PHYSIO 360 3.0 NE AIRWEAR INC CZ EASY UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005269,PR VX PHYSIO 360 3.0 NE AIRWEAR INC FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,
LSA0005271,PR VX PHYSIO 360 3.0 NE AIRWEAR INC PREVENCIA,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0005298,PR VX PHYSIO 360 3.0 NE ORMA COLORAÇAO PADRAO,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005299,PR VX PHYSIO 360 3.0 NE ORMA COLORAÇAO ESP,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,ANTIRRISCO,
LSA0005301,PR VX PHYSIO 360 3.0 NE ORMA INC CZ EASY UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005302,PR VX PHYSIO 360 3.0 NE ORMA INC FORTE UV,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,CRIZAL,
LSA0005303,PR VX PHYSIO 360 3.0 NE ORMA INC SAPPHIRE,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,CRIZAL,SAPPHIRE
LSA0005304,PR VX PHYSIO 360 3.0 NE ORMA INC PREVENCIA,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.50,,CRIZAL,PREVENCIA
LSA0005308,PR VX PHYSIO SH 360 3.0 STYLIS 1.67 BLUE UV SPPHR,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.67,,CRIZAL,
LSA0005328,PR VX PHYSIO SHORT 360 3.0 NE AIRWEAR INC SAPPHIRE,VARILUX,PHYSIO 3.0,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
LSA0005384,VX CMF f360 3.0EYCD 1.59 BL UV EASYCLNUV,VARILUX,COMFORT,PROGRESSIVA,1.59,,EASY CLEAN,
LSA0005388,VX CMFRT f-360 3.0 EYCD 1.59 BL UV SPPHR,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005396,VX CMFRT f-360 3.0 EYCD 1.59 INC FRT UV,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005397,VX COMFORT f-360 3.0 EYCD 1.59 INC SPPHR,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005438,VX CMFRT f-360 3.0 EYCD 1.50 INC EASY UV,VARILUX,COMFORT,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005440,VX COMFORT f-360 3.0 EYCD 1.50 INC SPPHR,VARILUX,COMFORT,PROGRESSIVA,1.50,,CRIZAL,
LSA0005473,VX COMFORT 360 3.0 1.59 BLUE UV EASY UV,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005474,VX COMFORT 360 3.0 1.59 BLUE UV FORTE UV,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005475,VX COMFORT 360 3.0 1.59 BLUE UV SPPHR,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005482,PROG VX COMFORT 360 3.0 1.59 INC EASY UV,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005483,VX COMFORT 360 3.0 1.59 INC FORTE UV,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,
LSA0005485,PROG VX COMFORT 360 3.0 1.59 INC PRVNC,VARILUX,COMFORT,PROGRESSIVA,1.59,,CRIZAL,PREVENCIA
LSA0005496,VX CMFRT 360 3.0 1.50 TRS XTR CZ FRT UV,VARILUX,COMFORT,PROGRESSIVA,1.50,TRANSITIONS,CRIZAL,
LSA0005523,VX CMFRT 360 3.0 1.50 INC EASY CLEAN UV,VARILUX,COMFORT,PROGRESSIVA,1.50,,EASY CLEAN,
LSA0005525,PROG VX COMFORT 360 3.0 1.50 INC EASY UV,VARILUX,COMFORT,PROGRESSIVA,1.50,,CRIZAL,EASY
LSA0005526,VX COMFORT 360 3.0 1.50 INC FORTE UV,VARILUX,COMFORT,PROGRESSIVA,1.50,,CRIZAL,
LSA0005527,PROG VX COMFORT 360 3.0 1.50 INC SPPHR,VARILUX,COMFORT,PROGRESSIVA,1.50,,CRIZAL,
LSA0005602,PR VX LIBERTY 360 3.0 AIRWEAR POL XPERIO CNZ HC,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,XPERIO,AR,
LSA0005609,PR VX LIBERTY 360 3.0 AIR BLUE UV EASY CLEAN UV,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,,EASY CLEAN,
LSA0005610,PR VX LIBERTY 360 3.0 AIRWEAR BLUE UV INC OPTIFOG,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,,OPTIFOG,
LSA0005611,PR VX LIBERTY 360 3.0 AIRWEAR BLUE UV CZ EASY UV,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,,CRIZAL,EASY
LSA0005612,PR VX LIBERTY 360 3.0 AIRWEAR BLUE UV INC FORTE UV,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,,CRIZAL,
LSA0005613,PR VX LIBERTY 360 3.0 AIRWEAR BLUE UV INC SAPPHIRE,VARILUX,LIBERTY 3.0,PROGRESSIVA,1.59,,CRIZAL,SAPPHIRE
